Vehicles Nearby,Vehicles Nearby.1,Required Chargers,DC Fast Count,vehiclesToBeCharged,text,label,Utilization Rate
308.0,308.0,5.0,10,960.0,,3,311.6883116883117
1425.0,1425.0,15.0,24,2496.0,,3,175.1578947368421
260.0,260.0,5.0,12,1088.0,,3,418.4615384615385
320.0,320.0,5.0,12,1088.0,,3,340.0
7590.0,7590.0,91.0,6,6208.0,,4,81.79183135704875
11811.0,11811.0,169.0,18,11968.0,,1,101.32926932520532
6407.0,6407.0,101.0,20,7744.0,,0,120.86780084282816
16877.0,16877.0,256.0,18,17536.0,,1,103.90472240327074
1508.0,1508.0,24.0,18,2688.0,,3,178.24933687002653
444.0,444.0,7.0,4,704.0,,3,158.55855855855856
227.0,227.0,4.0,3,448.0,,3,197.3568281938326
189.0,189.0,3.0,3,384.0,,3,203.17460317460316
2192.0,2192.0,33.0,4,2368.0,,1,108.02919708029196
167.0,167.0,3.0,3,384.0,,3,229.94011976047904
338.0,338.0,6.0,3,576.0,,3,170.41420118343197
8365.0,8365.0,105.0,8,7232.0,,4,86.45546921697549
487.0,487.0,8.0,3,704.0,,0,144.55852156057495
105.0,105.0,2.0,1,192.0,,3,182.85714285714286
33.0,33.0,1.0,3,256.0,,3,775.7575757575758
2454.0,2454.0,39.0,1,2560.0,,1,104.31947840260798
683.0,683.0,11.0,12,1472.0,,3,215.51976573938506
12968.0,12968.0,191.0,20,13504.0,,1,104.13325107958052
1527.0,1527.0,24.0,20,2816.0,,3,184.41388343156515
501.0,501.0,8.0,18,1664.0,,3,332.13572854291414
929.0,929.0,15.0,20,2240.0,,3,241.1194833153929
1234.0,1234.0,20.0,8,1792.0,,0,145.2188006482982
759.0,759.0,6.0,20,1664.0,,3,219.23583662714097
205.0,205.0,4.0,1,320.0,,3,156.09756097560975
183.0,183.0,3.0,3,384.0,,3,209.8360655737705
12089.0,12089.0,178.0,4,11648.0,,1,96.35205558772438
37354.0,37354.0,568.0,4,36608.0,,1,98.0028912566258
166.0,166.0,3.0,3,384.0,,3,231.32530120481925
6526.0,6526.0,93.0,3,6144.0,,1,94.14649095923996
20487.0,20487.0,288.0,6,18816.0,,1,91.84360814174842
8956.0,8956.0,118.0,3,7744.0,,4,86.4671728450201
463.0,463.0,8.0,2,640.0,,0,138.22894168466522
8864.0,8864.0,138.0,3,9024.0,,1,101.80505415162455
258.0,258.0,5.0,3,512.0,,3,198.4496124031008
539.0,539.0,6.0,12,1152.0,,3,213.7291280148423
216.0,216.0,4.0,1,320.0,,0,148.14814814814815
18952.0,18952.0,289.0,10,19136.0,,1,100.97087378640776
18505.0,18505.0,220.0,4,14336.0,,4,77.47095379627127
7361.0,7361.0,116.0,6,7808.0,,1,106.0725444912376
12318.0,12318.0,179.0,3,11648.0,,1,94.56080532553986
1916.0,1916.0,30.0,2,2048.0,,1,106.88935281837159
4240.0,4240.0,2.0,2,256.0,,2,6.037735849056604
6389.0,6389.0,100.0,1,6464.0,,1,101.17389262795429
2146.0,2146.0,32.0,2,2176.0,,1,101.39794967381175
13215.0,13215.0,201.0,2,12992.0,,1,98.31252364737041
63.0,63.0,1.0,8,576.0,,3,914.2857142857142
23925.0,23925.0,365.0,4,23616.0,,1,98.70846394984326
476.0,476.0,8.0,2,640.0,,0,134.45378151260505
137.0,137.0,3.0,19,1408.0,,3,1027.7372262773722
6133.0,6133.0,78.0,4,5248.0,,4,85.56986792760476
345.0,345.0,6.0,4,640.0,,3,185.5072463768116
21479.0,21479.0,288.0,1,18496.0,,4,86.11201638810002
27.0,27.0,1.0,3,256.0,,3,948.148148148148
10415.0,10415.0,163.0,3,10624.0,,1,102.00672107537206
75.0,75.0,2.0,1,192.0,,3,256.0
21642.0,21642.0,301.0,1,19328.0,,4,89.30782737270123
110.0,110.0,2.0,1,192.0,,3,174.54545454545453
18344.0,18344.0,241.0,1,15488.0,,4,84.43087658089838
17620.0,17620.0,233.0,4,15168.0,,4,86.08399545970488
133.0,133.0,3.0,3,384.0,,3,288.72180451127815
4313.0,4313.0,68.0,3,4544.0,,1,105.35590076512868
166.0,166.0,3.0,3,384.0,,3,231.32530120481925
1509.0,1509.0,8.0,3,704.0,,2,46.653412856196155
21.0,21.0,1.0,2,192.0,,3,914.2857142857142
247.0,247.0,4.0,2,384.0,,3,155.4655870445344
20660.0,20660.0,250.0,2,16128.0,,4,78.06389157792837
51.0,51.0,1.0,3,256.0,,3,501.96078431372547
89.0,89.0,2.0,3,320.0,,3,359.5505617977528
148.0,148.0,3.0,14,1088.0,,3,735.1351351351352
14159.0,14159.0,155.0,24,11456.0,,4,80.90966876191821
1010.0,1010.0,2.0,6,512.0,,4,50.693069306930695
25538.0,25538.0,309.0,24,21312.0,,4,83.45211058031168
107.0,107.0,2.0,16,1152.0,,3,1076.6355140186915
6898.0,6898.0,104.0,12,7424.0,,1,107.62539866628009
14915.0,14915.0,180.0,24,13056.0,,4,87.53603754609453
4612.0,4612.0,73.0,4,4928.0,,1,106.85169124024286
10699.0,10699.0,113.0,3,7424.0,,4,69.38966258528835
208.0,208.0,4.0,1,320.0,,3,153.84615384615387
12094.0,12094.0,141.0,6,9408.0,,4,77.7906399867703
6754.0,6754.0,87.0,16,6592.0,,1,97.60142137992301
117.0,117.0,2.0,8,640.0,,3,547.008547008547
6336.0,6336.0,64.0,3,4288.0,,4,67.67676767676768
7092.0,7092.0,96.0,20,7424.0,,1,104.68133107727016
13706.0,13706.0,205.0,4,13376.0,,1,97.59229534510433
2054.0,2054.0,29.0,6,2240.0,,1,109.05550146056476
4075.0,4075.0,64.0,4,4352.0,,1,106.79754601226993
2833.0,2833.0,44.0,3,3008.0,,1,106.17719731733143
5102.0,5102.0,76.0,20,6144.0,,0,120.42336338690708
5510.0,5510.0,86.0,16,6528.0,,0,118.47549909255899
17.0,17.0,1.0,4,320.0,,3,1882.3529411764707
100.0,100.0,2.0,2,256.0,,3,256.0
891.0,891.0,14.0,3,1088.0,,0,122.10998877665544
1770.0,1770.0,28.0,3,1984.0,,0,112.090395480226
12484.0,12484.0,177.0,2,11456.0,,1,91.76545978852931
3987.0,3987.0,51.0,1,3328.0,,4,83.47128166541259
4493.0,4493.0,69.0,1,4480.0,,1,99.71066102826619
16708.0,16708.0,242.0,4,15744.0,,1,94.23030883409146
32.0,32.0,1.0,2,192.0,,3,600.0
25277.0,25277.0,372.0,1,23872.0,,1,94.4415872136725
3465.0,3465.0,55.0,4,3776.0,,1,108.97546897546897
4676.0,4676.0,74.0,4,4992.0,,1,106.7579127459367
27626.0,27626.0,428.0,10,28032.0,,1,101.4696300586404
126.0,126.0,2.0,1,192.0,,3,152.38095238095238
