Station ID,Latitude,Longitude,DC Fast Count,City,ZIP,County
322490,34.014493,-118.237939,1,Vernon,90058,Los Angeles County
322549,34.423656,-119.689758,1,Santa Barbara,93101,Santa Barbara County
322550,34.423588,-119.689674,1,Santa Barbara,93101,Santa Barbara County
322551,34.423649,-119.689827,1,Santa Barbara,93101,Santa Barbara County
322552,34.423599,-119.689774,1,Santa Barbara,93101,Santa Barbara County
322553,34.423565,-119.689743,1,Santa Barbara,93101,Santa Barbara County
322554,34.423512,-119.68969,1,Santa Barbara,93101,Santa Barbara County
322556,34.423569,-119.689819,1,Santa Barbara,93101,Santa Barbara County
322557,34.423534,-119.689789,1,Santa Barbara,93101,Santa Barbara County
322559,34.423553,-119.689888,1,Santa Barbara,93101,Santa Barbara County
322560,34.423489,-119.689812,1,Santa Barbara,93101,Santa Barbara County
322561,34.423458,-119.689964,1,Santa Barbara,93101,Santa Barbara County
322628,38.231304,-122.106324,4,Fairfield,94534,Solano County
322629,38.24939,-122.04056,4,Fairfield,64533,Solano County
322832,32.9863393,-117.2716338,8,Solana Beach,92075,San Diego County
322834,39.30844,-120.545506,12,Soda Springs,95728,Placer County
322837,34.014437,-118.238088,8,Vernon,90058,Los Angeles County
322839,37.696161,-121.844205,16,Livermore,94551,Alameda County
322915,37.1003812,-121.013255,1,Santa Nella,95322,Merced County
322916,37.1002256,-121.0132375,1,Santa Nella,95322,Merced County
322917,37.1002614,-121.0123058,1,Santa Nella,95322,Merced County
322918,37.1002657,-121.012394,1,Santa Nella,95322,Merced County
322919,37.1002595,-121.0125432,1,Santa Nella,95322,Merced County
322920,37.100259,-121.012572,1,Santa Nella,95322,Merced County
322994,37.646297,-121.018123,2,Modesto,95351,Stanislaus County
323110,37.6948221,-121.7451335,10,Livermore,94551,Alameda County
323234,32.881424,-117.22335,1,La Jolla,92037,San Diego County
323259,34.136541,-117.196512,8,Highland,92346,San Bernardino County
323265,38.457887,-121.839914,12,Dixon,95620,Solano County
323267,34.0739,-117.8898,24,West Covina,91791,Los Angeles County
323271,33.831717,-118.078737,32,Hawaiian Gardens,90716,Los Angeles County
323405,37.9947134,-121.8074598,8,Antioch,94509,Contra Costa County
323547,33.780971,-118.211667,1,Long Beach,90813,Los Angeles County
323559,34.17589,-118.46528,6,Van Nuys,91411,Los Angeles County
323703,38.22255,-122.26194,2,Napa,94558,Napa County
323706,37.90694,-122.05939,3,Walnut Creek,94596,Contra Costa County
323775,38.543563,-121.335087,2,Sacramento,95827,Sacramento County
323776,38.792426,-121.355594,4,Roseville,95747,Placer County
323782,37.71875,-121.72504,10,Livermore,94551,Alameda County
323854,38.361705,-122.72388,1,Rohnert Park,94928,Sonoma County
323872,38.362037,-122.724314,1,Rohnert Park,94928,Sonoma County
324003,34.440337,-118.576718,24,Santa Clarita,91355,Los Angeles County
324005,37.923656,-122.088296,12,Walnut Creek,94597,Contra Costa County
324008,38.791049,-121.223586,12,Rocklin,95677,Placer County
324010,35.382684,-119.047467,20,Bakersfield,93308,Kern County
324018,33.640364,-117.175257,16,Menifee,92584,Riverside County
324025,35.623846877173,-117.669361736581,1,Ridgecrest,93555,Kern County
324284,37.481652,-122.160885,1,Menlo Park,94025,San Mateo County
324285,37.481684,-122.160886,1,Menlo Park,94025,San Mateo County
324286,37.48158,-122.160844,1,Menlo Park,94025,San Mateo County
324287,37.481628,-122.160848,1,Menlo Park,94025,San Mateo County
324288,37.481321,-122.159004,1,Menlo Park,94025,San Mateo County
324289,37.481315,-122.15899,1,Menlo Park,94025,San Mateo County
324379,34.591459,-118.136675,1,Palmdale,93551,Los Angeles County
325016,38.678854,-121.594751,1,Sacramento,95837,Sacramento County
325029,34.12496,-116.40589,6,Yucca Valley,92284,San Bernardino County
325030,33.87438,-118.35164,4,Torrance,90504,Los Angeles County
325031,34.03756,-118.47681,4,Santa Monica,90403,Los Angeles County
325271,37.379946,-122.1115,1,Los Altos,94022,Santa Clara County
325553,38.75031430782055,-121.25369998305726,1,Roseville,95661,Placer County
326092,37.522757796876,-122.004554116741,6,Newark,94560,Alameda County
326157,37.747023,-121.141841,12,Ripon,95366,San Joaquin County
326164,37.4764942,-121.9212998,8,Fremont,94539,Alameda County
326165,34.672954,-118.153686,16,Lancaster,93534,Los Angeles County
326170,37.236985,-121.962143,8,Los Gatos,95032,Santa Clara County
326179,33.7104937,-117.8850459,8,Santa Ana,92704,Orange County
326184,37.78743,-121.2179,6,Manteca,95337,San Joaquin County
326207,38.097549,-122.254895,1,Vallejo,94590,Solano County
326208,38.096899,-122.254045,1,Vallejo,94590,Solano County
326209,38.096767,-122.254072,1,Vallejo,94590,Solano County
326210,38.096774,-122.254088,1,Vallejo,94590,Solano County
326211,38.096813,-122.253749,1,Vallejo,94590,Solano County
326212,38.09647,-122.253646,1,Vallejo,94590,Solano County
326324,37.962008,-121.725914,2,Brentwood,94513,Contra Costa County
326516,33.75933789451114,-117.82510920156018,12,Tustin,92780,Orange County
326556,37.789776,-122.389882,1,San Francisco,94105,
326557,37.789815,-122.389885,1,San Francisco,94105,
326660,38.7597,-120.529795,12,Pollock Pines,95726,El Dorado County
326666,38.745353,-121.274063,16,Roseville,95678,Placer County
326667,33.802907,-117.22951,12,Perris,92571,Riverside County
326671,33.903147,-117.8407039,4,Yorba Linda,92886,Orange County
326938,37.35255,-121.97035,8,Santa Clara,95051,Santa Clara County
327097,37.480917,-122.167813,1,Menlo Park,94025,San Mateo County
327098,37.480868,-122.167809,1,Menlo Park,94025,San Mateo County
327134,33.1792,-117.29563,4,Oceanside,92056,San Diego County
327431,33.825082,-116.45956,8,Cathedral City,92234,Riverside County
327588,37.454257,-121.910496,2,Milpitas,95035,Santa Clara County
327779,33.898884,-117.55689,2,Corona,92879,Riverside County
328174,33.916498,-117.591268,2,Norco,92860,Riverside County
328175,33.708944,-116.286611,2,La Quinta,92253,Riverside County
328176,37.377111,-122.063897,2,Mountain View,94040,Santa Clara County
328177,38.480773,-121.507983,2,Sacramento,95831,Sacramento County
328512,36.656078,-121.661543,12,Salinas,93901,Monterey County
328513,36.978645,-121.966003,16,Capitola,95010,Santa Cruz County
328517,33.5294433,-117.1531896,16,Temecula,92591,Riverside County
328650,34.418976,-119.697141,1,Santa Barbara,93101,Santa Barbara County
328651,34.418995,-119.697163,1,Santa Barbara,93101,Santa Barbara County
328652,34.419011,-119.697186,1,Santa Barbara,93101,Santa Barbara County
328653,34.41903,-119.697209,1,Santa Barbara,93101,Santa Barbara County
328767,33.976053,-118.384756,4,Los Angeles,90045,Los Angeles County
328882,33.39928,-117.59437,4,San Clemente,92672,Orange County
329017,34.518106,-117.317568,1,Victorville,92395,San Bernardino County
329181,36.80846,-119.87245,6,Fresno,93722,Fresno County
329284,35.39732,-118.88485,2,Bakersfield,93306,Kern County
329480,38.64114,-121.52284,10,Sacramento,95834,Sacramento County
329489,37.37673,-122.03113,4,Sunnyvale,94086,Santa Clara County
329685,37.9674927,-122.062572,8,Concord,94520,Contra Costa County
329759,37.52964,-122.28941,6,San Mateo,94403,San Mateo County
329760,37.6646595,-122.11721,6,Hayward,94541,Alameda County
329767,36.84425546,-119.7870157,12,Fresno,93720,Fresno County
329768,33.566088,-117.212542,12,Murrieta,92562,Riverside County
329859,34.97245,-120.43505,4,Santa Maria,93454,Santa Barbara County
329936,35.400344,-119.398151,1,Buttonwillow,93206,Kern County
329937,35.400458,-119.397992,1,Buttonwillow,93206,Kern County
329954,33.92730551,-117.4172423,1,Riverside,92504,Riverside County
330107,38.925478,-121.055003,16,Auburn,95603,Placer County
330196,33.58486,-117.65934,4,Mission Viejo,92692,Orange County
330227,40.937834,-124.10015,1,McKinleyville,95519,Humboldt County
330237,33.882457,-117.620373,1,Corona,92882,Riverside County
330238,33.882466,-117.620469,1,Corona,92882,Riverside County
330266,32.832138,-117.161609,2,San Diego,92111,San Diego County
330323,32.832291,-117.161605,2,San Diego,92111,San Diego County
330371,33.8581963,-116.5586526,1,Palm Springs,92262,Riverside County
330502,34.154772,-118.346728,1,Burbank,91505,Los Angeles County
330566,33.777702,-117.918862,32,Garden Grove,92840,Orange County
330678,37.78507,-121.25269,8,Manteca,95337,San Joaquin County
330691,32.641805,-116.999382,1,Chula Vista,91910,San Diego County
330692,32.641802,-116.999261,1,Chula Vista,91910,San Diego County
330822,37.48132,-122.154719,1,Menlo Park,94025,San Mateo County
330981,34.27727814,-119.2833798,8,Ventura,93001,Ventura County
330988,33.20125,-117.33248,6,Oceanside,92054,San Diego County
331045,37.386681,-121.861331,4,San Jose,95132,Santa Clara County
331046,37.6468,-122.42917,6,South San Francisco,94080,San Mateo County
331048,38.36471,-122.71321,6,Rohnert Park,94928,Sonoma County
331086,37.709233,-121.051013,8,Modesto,95356,Stanislaus County
331089,32.80931,-117.11518,6,San Diego,92123,San Diego County
331148,34.13265,-117.87239,4,Glendora,91741,Los Angeles County
331275,37.9631443,-121.9939995,6,Concord,94521,Contra Costa County
331347,37.5543796,-122.293054,16,San Mateo,94403,San Mateo County
331351,33.9710442,-118.071119,16,Whittier,90606,Los Angeles County
331352,34.426364,-117.35463,16,Hesperia,92345,San Bernardino County
331353,37.54163,-122.30225,12,San Mateo,94403,San Mateo County
331425,37.70751953125,-121.053453967869,8,Modesto,95356,Stanislaus County
331426,33.74719,-117.86549,4,Santa Ana,92701,Orange County
331758,35.011609,-117.644175,1,Boron,93516,Kern County
331759,35.01177,-117.644151,1,Boron,93516,Kern County
331760,35.011608,-117.644144,1,Boron,93516,Kern County
331820,40.433622,-122.288766,8,Anderson,96007,Shasta County
331822,37.65316,-122.090452,20,Hayward,94544,Alameda County
332039,36.658853,-121.618919,1,Salinas,93905,Monterey County
332040,36.658741,-121.619224,1,Salinas,93905,Monterey County
332041,36.659015,-121.619263,1,Salinas,93905,Monterey County
332042,36.659108,-121.619386,1,Salinas,93905,Monterey County
332060,34.261805,-118.42762,1,Pacoima,91331,Los Angeles County
332090,34.028502,-117.760361,24,Pomona,91766,Los Angeles County
332091,35.6267477,-120.687231,8,Paso Robles,93446,San Luis Obispo County
332093,38.239152,-120.364871,8,Arnold,95223,Calaveras County
332097,37.460358,-122.138964,20,East Palo Alto,94303,San Mateo County
332152,32.64603,-116.9682,4,Chula Vista,91915,San Diego County
332158,33.69496,-117.75896,4,Irvine,92620,Orange County
332159,34.0899,-117.89261,4,Covina,91723,Los Angeles County
332160,33.98493,-117.74862,2,Chino Hills,91709,San Bernardino County
332475,33.946263,-118.145342,1,Downey,90241,Los Angeles County
332476,33.946263,-118.145525,1,Downey,90241,Los Angeles County
332485,36.6374813,-120.6264482,1,Firebaugh,93622,Fresno County
332486,36.6371243,-120.6259618,1,Firebaugh,93622,Fresno County
332487,36.6371679,-120.6259842,1,Firebaugh,93622,Fresno County
332488,36.6371679,-120.6259842,1,Firebaugh,93622,Fresno County
332489,36.637262,-120.6260345,1,Firebaugh,93622,Fresno County
332490,36.6372916,-120.6260697,1,Firebaugh,93622,Fresno County
332491,36.6373126,-120.6260798,1,Firebaugh,93622,Fresno County
332492,36.6373274,-120.6260965,1,Firebaugh,93622,Fresno County
332547,37.12902124085208,-119.73352908970752,1,O'Neals,93645,Madera County
332793,37.731089,-121.431544,2,Tracy,95376,San Joaquin County
332817,34.08028,-118.092991,3,San Gabriel,91776,Los Angeles County
332820,33.781114,-118.263038,4,Wilmington,90744,Los Angeles County
332884,34.067133,-118.249297,4,Los Angeles,90012,Los Angeles County
332898,36.814084,-121.363013,2,Hollister,95023,San Benito County
332905,34.1375274,-118.3600314,2,Universal City,91608,Los Angeles County
332995,33.9280231,-116.9454729,1,Banning,92220,Riverside County
333004,36.7403,-119.7964951,8,Fresno,93721,Fresno County
333024,36.3002892,-119.2909486,2,Visalia,93277,Tulare County
333026,37.8621355,-122.2901768,2,Berkeley,94707,Alameda County
333042,36.808095,-119.7210287,4,Clovis,93612,Fresno County
333153,34.2224528,-118.4747098,8,North Hills,91343,Los Angeles County
333161,35.38794,-119.09465,8,Bakersfield,93312,Kern County
333168,39.7520669,-121.6232143,8,Paradise,95969,Butte County
333197,34.5771791,-118.1156511,2,Palmdale,90245,Los Angeles County
333198,37.9722006,-122.053867,2,Concord,94520,Contra Costa County
333213,37.9285795,-121.2632315,2,Stockton,95206,San Joaquin County
333214,37.9279572,-121.2629066,2,Stockton,95206,San Joaquin County
333238,36.77109,-119.723581,8,Fresno,93727,Fresno County
333249,32.8380844,-117.2786074,1,La Jolla,92037,San Diego County
333273,35.397047,-118.884938,2,Bakersfield,93306,Kern County
333276,37.4265057,-120.7856886,2,Delhi,95315,Merced County
333282,38.42386,-121.353694,4,Elk Grove,95624,Sacramento County
333329,34.0516483,-118.2568833,2,los Angeles,90071,Los Angeles County
333407,33.728108,-117.836348,1,Santa Ana,92705,Orange County
333455,35.20978,-118.83248,2,Arvin,93203,Kern County
333471,38.601236,-121.431308,16,Sacramento,95815,Sacramento County
333472,36.608025,-121.925067,12,Pacific Grove,93950,Monterey County
333475,32.832664,-117.128364,16,San Diego,92123,San Diego County
333531,34.0104799,-117.7405543,6,Chino Hills,91709,San Bernardino County
333532,33.9366537,-118.253624,8,Los Angeles,90059,Los Angeles County
333579,33.68308,-117.84969,10,Irvine,92614,Orange County
333597,38.0046659,-122.0434103,6,Concord,94520,Contra Costa County
333653,37.2604714,-121.8759982,6,San Jose,95118,Santa Clara County
333654,37.278812,-121.835359,6,San Jose,95111,Santa Clara County
333683,33.876682,-117.751738,1,Anaheim,92807,Orange County
333684,33.876693,-117.751725,1,Anaheim,92807,Orange County
333704,34.19244219,-117.3621204,12,San Bernardino,92407,San Bernardino County
333705,33.917306,-118.092115,16,Norwalk,90650,Los Angeles County
333706,34.035929,-118.23832,8,Los Angeles,90021,Los Angeles County
333810,34.06277,-118.30871,4,Los Angeles,90010,Los Angeles County
333940,34.11631,-118.15215,2,South Pasadena,91030,Los Angeles County
333955,33.80307,-118.00876,8,Stanton,90680,Orange County
334071,34.16595,-118.52846,6,Tarzana,91356,Los Angeles County
