Station ID,Latitude,Longitude,DC Fast Count,City,ZIP
158679,34.034767,-118.090629,1,Montebello,90640
158687,34.046069,-117.802596,1,Pomona,91768
158690,34.10372,-117.574477,1,Rancho Cucamonga,91730
158696,33.747461,-117.877762,1,Santa Ana,92703
158699,33.44155,-117.627754,1,San Clemente,92672
158714,33.55703,-117.21156,1,Murrieta,92562
158736,34.470993,-117.35262,1,Victorville,92392
158746,33.693377,-117.989535,1,Huntington Beach,92648
158753,33.706766,-116.276949,1,La Quinta,92253
158758,33.902733,-116.544726,1,Palm Springs,92262
158759,32.880642,-117.22124,1,San Diego,92037
158764,33.924608,-118.151863,1,Downey,90242
158766,34.114358,-117.907417,1,Azusa,91702
158773,33.568703,-117.830445,1,Newport Beach,92657
158774,33.715317,-118.007217,1,Huntington Beach,92647
158786,33.846247,-118.194201,1,Long Beach,90805
158792,32.8737,-117.237213,1,La Jolla,92093
158804,34.067274,-117.719057,1,Pomona,91767
158818,33.774456,-117.976898,1,Garden Grove,92841
158819,33.774421,-117.9769,1,Garden Grove,92844
158830,38.480099,-122.736375,1,Santa Rosa,95403
158845,33.840288,-117.958588,1,Anaheim,92801
158892,34.0414,-118.049831,1,South El Monte,91733
158903,33.610613,-117.731237,1,Laguna Woods,92637
158905,38.605907,-121.44319,1,Sacramento,95815
158909,35.831372,-120.758418,1,San Miguel,93451
158923,33.851517,-117.85781,1,Anaheim,92806
158941,37.832126,-121.286684,1,Lathrop,95330
158968,38.798412,-121.212295,1,Rocklin,95677
158995,33.863252,-117.995708,1,Buena Park,90621
159021,39.689208,-123.483252,1,Laytonville,95454
159026,39.689199,-123.483241,1,Laytonville,95454
159073,34.016527,-117.380306,1,Riverside,92509
159082,33.772562,-118.191291,1,Long Beach,90802
159089,35.850233,-120.770224,1,Bradley,93426
159136,37.485312,-122.146122,1,Menlo Park,94025
159172,33.647734,-117.739483,1,Irvine,92618
159304,34.593868,-118.138119,1,Palmdale,93551
159921,33.728299,-116.234539,1,Indio,92201
159937,34.921789,-120.423734,1,Santa Maria,93455
160298,35.372994,-119.021579,1,Bakersfield,93301
160314,36.97785,-122.022635,1,Santa Cruz,95060
160463,38.361801,-122.724143,1,Rohnert Park,94928
160559,33.949654,-118.06417,1,Santa Fe Springs,90670
160575,34.031492,-118.475163,1,Santa Monica,90404
160662,37.133677,-121.631994,1,Morgan Hill,95037
160729,37.522801,-121.996221,1,Newark,94560
161128,33.879438,-117.883212,1,Fullerton,92831
163344,35.136647,-120.628705,12,Pismo Beach,93449
163345,33.865736,-118.395322,20,Hermosa Beach,90254
163414,37.25125,-121.86587,3,San Jose,95123
163499,32.54525,-117.04159,4,San Diego,92173
163523,34.12608,-118.25597,3,Glendale,91204
163570,36.9541843,-120.0580843,2,Madera,93673
163597,35.675115,-120.346632,1,Shandon,93461
163619,34.146957,-118.248668,1,Glendale,91206
163636,37.125443,-120.256979,1,Chowchilla,93610
163725,33.540782,-116.740683,1,Anza,92539
163743,33.84785,-117.990308,4,Buena Park,90620
163800,37.05529,-120.835156,1,Los Banos,93635
163948,38.239194,-122.078685,2,Fairfield,94533
163954,35.79099,-119.250011,2,Delano,93215
163983,34.074594,-118.247699,2,Los Angeles,90026
164002,33.9228,-116.9519,20,Beaumont,92223
164062,39.32866,-120.182756,1,Truckee,96161
164166,37.898635,-122.300672,14,El Cerrito,94530
164171,36.180933,-119.330271,2,Tulare,93274
164282,37.694635,-121.064213,12,Modesto,95356
164429,37.46211,-122.42984,4,Half Moon Bay,94019
164458,36.04731,-117.94566,4,Olancha,93549
164459,35.26653,-119.25296,4,Bakersfield,93311
164552,36.979026,-122.013846,16,Santa Cruz,95062
164553,38.409356,-121.391,16,Elk Grove,95758
164598,33.931289,-117.945239,1,La Habra,90631
164649,38.590543,-121.28041,2,Rancho Cordova,95670
164795,37.007072,-121.552685,1,Gilroy,95020
164871,37.74291,-122.42203,3,San Francisco,94110
165097,36.5615,-119.603151,1,Selma,93662
165098,36.56001,-119.59947,4,Selma,93662
